# RIGHT SOLUTIONS A.I. - CHENDAI SYNTHESIS MAP (EXPANDED)
# FORMAT: [ID] | [TYPE] | [BASE_FREQ_HZ] | [HARMONIC_RATIOS] | [DECAY_SEC] | [NOISE_ATTACK_AMT] | [PITCH_BEND_AMT]
# NOTE: Harmonic Ratios are comma-separated multipliers of Base Freq.
# NOTE: Noise Attack is 0.0 (clean) to 1.0 (pure noise).
# NOTE: Pitch Bend is Hz drop over time (simulates skin stretching).

# --- SECTION 1: VALAM THALA (RIGHT SIDE - STICK) - THAAM FAMILY ---
# The main striking sounds - 300 variations

THAAM_400HZ_SOFT | STICK_CENTER | 400.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_542HZ_HARD | STICK_CENTER | 542.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_544HZ_SOFT | STICK_CENTER | 544.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_544HZ_MED | STICK_CENTER | 544.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_544HZ_HARD | STICK_CENTER | 544.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_546HZ_SOFT | STICK_CENTER | 546.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_546HZ_MED | STICK_CENTER | 546.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_546HZ_HARD | STICK_CENTER | 546.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_548HZ_SOFT | STICK_CENTER | 548.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_548HZ_MED | STICK_CENTER | 548.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_548HZ_HARD | STICK_CENTER | 548.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_550HZ_SOFT | STICK_CENTER | 550.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_550HZ_MED | STICK_CENTER | 550.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_550HZ_HARD | STICK_CENTER | 550.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_552HZ_SOFT | STICK_CENTER | 552.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_552HZ_MED | STICK_CENTER | 552.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_552HZ_HARD | STICK_CENTER | 552.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_554HZ_SOFT | STICK_CENTER | 554.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_554HZ_MED | STICK_CENTER | 554.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_554HZ_HARD | STICK_CENTER | 554.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_556HZ_SOFT | STICK_CENTER | 556.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_556HZ_MED | STICK_CENTER | 556.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_556HZ_HARD | STICK_CENTER | 556.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_558HZ_SOFT | STICK_CENTER | 558.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_558HZ_MED | STICK_CENTER | 558.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_558HZ_HARD | STICK_CENTER | 558.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_560HZ_SOFT | STICK_CENTER | 560.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_560HZ_MED | STICK_CENTER | 560.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_560HZ_HARD | STICK_CENTER | 560.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_562HZ_SOFT | STICK_CENTER | 562.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_562HZ_MED | STICK_CENTER | 562.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_562HZ_HARD | STICK_CENTER | 562.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_564HZ_SOFT | STICK_CENTER | 564.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_564HZ_MED | STICK_CENTER | 564.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_564HZ_HARD | STICK_CENTER | 564.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_566HZ_SOFT | STICK_CENTER | 566.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_566HZ_MED | STICK_CENTER | 566.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_566HZ_HARD | STICK_CENTER | 566.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_568HZ_SOFT | STICK_CENTER | 568.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_568HZ_MED | STICK_CENTER | 568.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_568HZ_HARD | STICK_CENTER | 568.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_570HZ_SOFT | STICK_CENTER | 570.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_570HZ_MED | STICK_CENTER | 570.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_570HZ_HARD | STICK_CENTER | 570.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_572HZ_SOFT | STICK_CENTER | 572.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_572HZ_MED | STICK_CENTER | 572.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_572HZ_HARD | STICK_CENTER | 572.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_574HZ_SOFT | STICK_CENTER | 574.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_574HZ_MED | STICK_CENTER | 574.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_574HZ_HARD | STICK_CENTER | 574.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_576HZ_SOFT | STICK_CENTER | 576.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_576HZ_MED | STICK_CENTER | 576.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_576HZ_HARD | STICK_CENTER | 576.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_578HZ_SOFT | STICK_CENTER | 578.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_578HZ_MED | STICK_CENTER | 578.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_578HZ_HARD | STICK_CENTER | 578.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5
THAAM_580HZ_SOFT | STICK_CENTER | 580.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_580HZ_MED | STICK_CENTER | 580.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_580HZ_HARD | STICK_CENTER | 580.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_582HZ_SOFT | STICK_CENTER | 582.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_582HZ_MED | STICK_CENTER | 582.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_582HZ_HARD | STICK_CENTER | 582.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_584HZ_SOFT | STICK_CENTER | 584.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_584HZ_MED | STICK_CENTER | 584.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_584HZ_HARD | STICK_CENTER | 584.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_586HZ_SOFT | STICK_CENTER | 586.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_586HZ_MED | STICK_CENTER | 586.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_586HZ_HARD | STICK_CENTER | 586.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_588HZ_SOFT | STICK_CENTER | 588.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_588HZ_MED | STICK_CENTER | 588.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_588HZ_HARD | STICK_CENTER | 588.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_590HZ_SOFT | STICK_CENTER | 590.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_590HZ_MED | STICK_CENTER | 590.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_590HZ_HARD | STICK_CENTER | 590.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_592HZ_SOFT | STICK_CENTER | 592.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_592HZ_MED | STICK_CENTER | 592.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
THAAM_592HZ_HARD | STICK_CENTER | 592.0 | 1.5, 2.0, 3.5, 4.2 | 0.31 | 0.52 | 29.0
THAAM_594HZ_SOFT | STICK_CENTER | 594.0 | 1.5, 2.0 | 0.25 | 0.27 | 11.5
THAAM_594HZ_MED | STICK_CENTER | 594.0 | 1.5, 2.0, 3.5 | 0.29 | 0.49 | 22.0
THAAM_594HZ_HARD | STICK_CENTER | 594.0 | 1.5, 2.0, 3.5, 4.2 | 0.32 | 0.54 | 30.5
THAAM_596HZ_SOFT | STICK_CENTER | 596.0 | 1.5, 2.0 | 0.26 | 0.28 | 12.0
THAAM_596HZ_MED | STICK_CENTER | 596.0 | 1.5, 2.0, 3.5 | 0.30 | 0.51 | 23.0
THAAM_596HZ_HARD | STICK_CENTER | 596.0 | 1.5, 2.0, 3.5, 4.2 | 0.33 | 0.56 | 32.0
THAAM_598HZ_SOFT | STICK_CENTER | 598.0 | 1.5, 2.0 | 0.27 | 0.29 | 12.5
THAAM_598HZ_MED | STICK_CENTER | 598.0 | 1.5, 2.0, 3.5 | 0.31 | 0.53 | 24.0
THAAM_598HZ_HARD | STICK_CENTER | 598.0 | 1.5, 2.0, 3.5, 4.2 | 0.34 | 0.58 | 33.5

# --- SECTION 2: OPPU (MUTED STRIKES) - DAMPENED SOUNDS ---
# The 'thok' sound with stick pressed into skin - 200 variations

OPPU_250HZ_SOFT | STICK_MUTE | 250.0 | 1.2, 1.8 | 0.030 | 0.50 | 25.0
OPPU_250HZ_HARD | STICK_MUTE | 250.0 | 1.2, 1.8, 2.5 | 0.050 | 0.60 | 50.0
OPPU_251HZ_SOFT | STICK_MUTE | 251.0 | 1.2, 1.8 | 0.032 | 0.51 | 27.0
OPPU_251HZ_HARD | STICK_MUTE | 251.0 | 1.2, 1.8, 2.5 | 0.052 | 0.61 | 53.0
OPPU_252HZ_SOFT | STICK_MUTE | 252.0 | 1.2, 1.8 | 0.034 | 0.52 | 29.0
OPPU_252HZ_HARD | STICK_MUTE | 252.0 | 1.2, 1.8, 2.5 | 0.054 | 0.63 | 56.0
OPPU_253HZ_SOFT | STICK_MUTE | 253.0 | 1.2, 1.8 | 0.036 | 0.53 | 31.0
OPPU_253HZ_HARD | STICK_MUTE | 253.0 | 1.2, 1.8, 2.5 | 0.056 | 0.65 | 59.0
OPPU_254HZ_SOFT | STICK_MUTE | 254.0 | 1.2, 1.8 | 0.038 | 0.54 | 33.0
OPPU_254HZ_HARD | STICK_MUTE | 254.0 | 1.2, 1.8, 2.5 | 0.058 | 0.66 | 62.0
OPPU_255HZ_SOFT | STICK_MUTE | 255.0 | 1.2, 1.8 | 0.040 | 0.55 | 35.0
OPPU_255HZ_HARD | STICK_MUTE | 255.0 | 1.2, 1.8, 2.5 | 0.060 | 0.67 | 65.0
OPPU_256HZ_SOFT | STICK_MUTE | 256.0 | 1.2, 1.8 | 0.042 | 0.56 | 37.0
OPPU_256HZ_HARD | STICK_MUTE | 256.0 | 1.2, 1.8, 2.5 | 0.062 | 0.69 | 68.0
OPPU_257HZ_SOFT | STICK_MUTE | 257.0 | 1.2, 1.8 | 0.044 | 0.57 | 39.0
OPPU_257HZ_HARD | STICK_MUTE | 257.0 | 1.2, 1.8, 2.5 | 0.064 | 0.70 | 71.0
OPPU_258HZ_SOFT | STICK_MUTE | 258.0 | 1.2, 1.8 | 0.046 | 0.58 | 41.0
OPPU_258HZ_HARD | STICK_MUTE | 258.0 | 1.2, 1.8, 2.5 | 0.066 | 0.72 | 74.0
OPPU_259HZ_SOFT | STICK_MUTE | 259.0 | 1.2, 1.8 | 0.048 | 0.59 | 43.0
OPPU_259HZ_HARD | STICK_MUTE | 259.0 | 1.2, 1.8, 2.5 | 0.068 | 0.73 | 77.0
OPPU_260HZ_SOFT | STICK_MUTE | 260.0 | 1.2, 1.8 | 0.030 | 0.60 | 25.0
OPPU_260HZ_HARD | STICK_MUTE | 260.0 | 1.2, 1.8, 2.5 | 0.050 | 0.75 | 50.0
OPPU_261HZ_SOFT | STICK_MUTE | 261.0 | 1.2, 1.8 | 0.032 | 0.61 | 27.0
OPPU_261HZ_HARD | STICK_MUTE | 261.0 | 1.2, 1.8, 2.5 | 0.052 | 0.76 | 53.0
OPPU_262HZ_SOFT | STICK_MUTE | 262.0 | 1.2, 1.8 | 0.034 | 0.62 | 29.0
OPPU_262HZ_HARD | STICK_MUTE | 262.0 | 1.2, 1.8, 2.5 | 0.054 | 0.78 | 56.0
OPPU_263HZ_SOFT | STICK_MUTE | 263.0 | 1.2, 1.8 | 0.036 | 0.63 | 31.0
OPPU_263HZ_HARD | STICK_MUTE | 263.0 | 1.2, 1.8, 2.5 | 0.056 | 0.79 | 59.0
OPPU_264HZ_SOFT | STICK_MUTE | 264.0 | 1.2, 1.8 | 0.038 | 0.64 | 33.0
OPPU_264HZ_HARD | STICK_MUTE | 264.0 | 1.2, 1.8, 2.5 | 0.058 | 0.81 | 62.0
OPPU_265HZ_SOFT | STICK_MUTE | 265.0 | 1.2, 1.8 | 0.040 | 0.50 | 35.0
OPPU_265HZ_HARD | STICK_MUTE | 265.0 | 1.2, 1.8, 2.5 | 0.060 | 0.60 | 65.0
OPPU_266HZ_SOFT | STICK_MUTE | 266.0 | 1.2, 1.8 | 0.042 | 0.51 | 37.0
OPPU_266HZ_HARD | STICK_MUTE | 266.0 | 1.2, 1.8, 2.5 | 0.062 | 0.61 | 68.0
OPPU_267HZ_SOFT | STICK_MUTE | 267.0 | 1.2, 1.8 | 0.044 | 0.52 | 39.0
OPPU_267HZ_HARD | STICK_MUTE | 267.0 | 1.2, 1.8, 2.5 | 0.064 | 0.63 | 71.0
OPPU_268HZ_SOFT | STICK_MUTE | 268.0 | 1.2, 1.8 | 0.046 | 0.53 | 41.0
OPPU_268HZ_HARD | STICK_MUTE | 268.0 | 1.2, 1.8, 2.5 | 0.066 | 0.65 | 74.0
OPPU_269HZ_SOFT | STICK_MUTE | 269.0 | 1.2, 1.8 | 0.048 | 0.54 | 43.0
OPPU_269HZ_HARD | STICK_MUTE | 269.0 | 1.2, 1.8, 2.5 | 0.068 | 0.66 | 77.0
OPPU_270HZ_SOFT | STICK_MUTE | 270.0 | 1.2, 1.8 | 0.030 | 0.55 | 25.0
OPPU_270HZ_HARD | STICK_MUTE | 270.0 | 1.2, 1.8, 2.5 | 0.050 | 0.67 | 50.0
OPPU_271HZ_SOFT | STICK_MUTE | 271.0 | 1.2, 1.8 | 0.032 | 0.56 | 27.0
OPPU_271HZ_HARD | STICK_MUTE | 271.0 | 1.2, 1.8, 2.5 | 0.052 | 0.69 | 53.0
OPPU_272HZ_SOFT | STICK_MUTE | 272.0 | 1.2, 1.8 | 0.034 | 0.57 | 29.0
OPPU_272HZ_HARD | STICK_MUTE | 272.0 | 1.2, 1.8, 2.5 | 0.054 | 0.70 | 56.0
OPPU_273HZ_SOFT | STICK_MUTE | 273.0 | 1.2, 1.8 | 0.036 | 0.58 | 31.0
OPPU_273HZ_HARD | STICK_MUTE | 273.0 | 1.2, 1.8, 2.5 | 0.056 | 0.72 | 59.0
OPPU_274HZ_SOFT | STICK_MUTE | 274.0 | 1.2, 1.8 | 0.038 | 0.59 | 33.0
OPPU_274HZ_HARD | STICK_MUTE | 274.0 | 1.2, 1.8, 2.5 | 0.058 | 0.73 | 62.0
OPPU_275HZ_SOFT | STICK_MUTE | 275.0 | 1.2, 1.8 | 0.040 | 0.60 | 35.0
OPPU_275HZ_HARD | STICK_MUTE | 275.0 | 1.2, 1.8, 2.5 | 0.060 | 0.75 | 65.0
OPPU_276HZ_SOFT | STICK_MUTE | 276.0 | 1.2, 1.8 | 0.042 | 0.61 | 37.0
OPPU_276HZ_HARD | STICK_MUTE | 276.0 | 1.2, 1.8, 2.5 | 0.062 | 0.76 | 68.0
OPPU_277HZ_SOFT | STICK_MUTE | 277.0 | 1.2, 1.8 | 0.044 | 0.62 | 39.0
OPPU_277HZ_HARD | STICK_MUTE | 277.0 | 1.2, 1.8, 2.5 | 0.064 | 0.78 | 71.0
OPPU_278HZ_SOFT | STICK_MUTE | 278.0 | 1.2, 1.8 | 0.046 | 0.63 | 41.0
OPPU_278HZ_HARD | STICK_MUTE | 278.0 | 1.2, 1.8, 2.5 | 0.066 | 0.79 | 74.0
OPPU_279HZ_SOFT | STICK_MUTE | 279.0 | 1.2, 1.8 | 0.048 | 0.64 | 43.0
OPPU_279HZ_HARD | STICK_MUTE | 279.0 | 1.2, 1.8, 2.5 | 0.068 | 0.81 | 77.0
OPPU_280HZ_SOFT | STICK_MUTE | 280.0 | 1.2, 1.8 | 0.030 | 0.50 | 25.0
OPPU_280HZ_HARD | STICK_MUTE | 280.0 | 1.2, 1.8, 2.5 | 0.050 | 0.60 | 50.0
OPPU_281HZ_SOFT | STICK_MUTE | 281.0 | 1.2, 1.8 | 0.032 | 0.51 | 27.0
OPPU_281HZ_HARD | STICK_MUTE | 281.0 | 1.2, 1.8, 2.5 | 0.052 | 0.61 | 53.0
OPPU_282HZ_SOFT | STICK_MUTE | 282.0 | 1.2, 1.8 | 0.034 | 0.52 | 29.0
OPPU_282HZ_HARD | STICK_MUTE | 282.0 | 1.2, 1.8, 2.5 | 0.054 | 0.63 | 56.0
OPPU_283HZ_SOFT | STICK_MUTE | 283.0 | 1.2, 1.8 | 0.036 | 0.53 | 31.0
OPPU_283HZ_HARD | STICK_MUTE | 283.0 | 1.2, 1.8, 2.5 | 0.056 | 0.65 | 59.0
OPPU_284HZ_SOFT | STICK_MUTE | 284.0 | 1.2, 1.8 | 0.038 | 0.54 | 33.0
OPPU_284HZ_HARD | STICK_MUTE | 284.0 | 1.2, 1.8, 2.5 | 0.058 | 0.66 | 62.0
OPPU_285HZ_SOFT | STICK_MUTE | 285.0 | 1.2, 1.8 | 0.040 | 0.55 | 35.0
OPPU_285HZ_HARD | STICK_MUTE | 285.0 | 1.2, 1.8, 2.5 | 0.060 | 0.67 | 65.0
OPPU_286HZ_SOFT | STICK_MUTE | 286.0 | 1.2, 1.8 | 0.042 | 0.56 | 37.0
OPPU_286HZ_HARD | STICK_MUTE | 286.0 | 1.2, 1.8, 2.5 | 0.062 | 0.69 | 68.0
OPPU_287HZ_SOFT | STICK_MUTE | 287.0 | 1.2, 1.8 | 0.044 | 0.57 | 39.0
OPPU_287HZ_HARD | STICK_MUTE | 287.0 | 1.2, 1.8, 2.5 | 0.064 | 0.70 | 71.0
OPPU_288HZ_SOFT | STICK_MUTE | 288.0 | 1.2, 1.8 | 0.046 | 0.58 | 41.0
OPPU_288HZ_HARD | STICK_MUTE | 288.0 | 1.2, 1.8, 2.5 | 0.066 | 0.72 | 74.0
OPPU_289HZ_SOFT | STICK_MUTE | 289.0 | 1.2, 1.8 | 0.048 | 0.59 | 43.0
OPPU_289HZ_HARD | STICK_MUTE | 289.0 | 1.2, 1.8, 2.5 | 0.068 | 0.73 | 77.0
OPPU_290HZ_SOFT | STICK_MUTE | 290.0 | 1.2, 1.8 | 0.030 | 0.60 | 25.0
OPPU_290HZ_HARD | STICK_MUTE | 290.0 | 1.2, 1.8, 2.5 | 0.050 | 0.75 | 50.0
OPPU_291HZ_SOFT | STICK_MUTE | 291.0 | 1.2, 1.8 | 0.032 | 0.61 | 27.0
OPPU_291HZ_HARD | STICK_MUTE | 291.0 | 1.2, 1.8, 2.5 | 0.052 | 0.76 | 53.0
OPPU_292HZ_SOFT | STICK_MUTE | 292.0 | 1.2, 1.8 | 0.034 | 0.62 | 29.0
OPPU_292HZ_HARD | STICK_MUTE | 292.0 | 1.2, 1.8, 2.5 | 0.054 | 0.78 | 56.0
OPPU_293HZ_SOFT | STICK_MUTE | 293.0 | 1.2, 1.8 | 0.036 | 0.63 | 31.0
OPPU_293HZ_HARD | STICK_MUTE | 293.0 | 1.2, 1.8, 2.5 | 0.056 | 0.79 | 59.0
OPPU_294HZ_SOFT | STICK_MUTE | 294.0 | 1.2, 1.8 | 0.038 | 0.64 | 33.0
OPPU_294HZ_HARD | STICK_MUTE | 294.0 | 1.2, 1.8, 2.5 | 0.058 | 0.81 | 62.0
OPPU_295HZ_SOFT | STICK_MUTE | 295.0 | 1.2, 1.8 | 0.040 | 0.50 | 35.0
OPPU_295HZ_HARD | STICK_MUTE | 295.0 | 1.2, 1.8, 2.5 | 0.060 | 0.60 | 65.0
OPPU_296HZ_SOFT | STICK_MUTE | 296.0 | 1.2, 1.8 | 0.042 | 0.51 | 37.0
OPPU_296HZ_HARD | STICK_MUTE | 296.0 | 1.2, 1.8, 2.5 | 0.062 | 0.61 | 68.0
OPPU_297HZ_SOFT | STICK_MUTE | 297.0 | 1.2, 1.8 | 0.044 | 0.52 | 39.0
OPPU_297HZ_HARD | STICK_MUTE | 297.0 | 1.2, 1.8, 2.5 | 0.064 | 0.63 | 71.0
OPPU_298HZ_SOFT | STICK_MUTE | 298.0 | 1.2, 1.8 | 0.046 | 0.53 | 41.0
OPPU_298HZ_HARD | STICK_MUTE | 298.0 | 1.2, 1.8, 2.5 | 0.066 | 0.65 | 74.0
OPPU_299HZ_SOFT | STICK_MUTE | 299.0 | 1.2, 1.8 | 0.048 | 0.54 | 43.0
OPPU_299HZ_HARD | STICK_MUTE | 299.0 | 1.2, 1.8, 2.5 | 0.068 | 0.66 | 77.0
OPPU_300HZ_SOFT | STICK_MUTE | 300.0 | 1.2, 1.8 | 0.030 | 0.55 | 25.0
OPPU_300HZ_HARD | STICK_MUTE | 300.0 | 1.2, 1.8, 2.5 | 0.050 | 0.67 | 50.0
OPPU_301HZ_SOFT | STICK_MUTE | 301.0 | 1.2, 1.8 | 0.032 | 0.56 | 27.0
OPPU_301HZ_HARD | STICK_MUTE | 301.0 | 1.2, 1.8, 2.5 | 0.052 | 0.69 | 53.0
OPPU_302HZ_SOFT | STICK_MUTE | 302.0 | 1.2, 1.8 | 0.034 | 0.57 | 29.0
OPPU_302HZ_HARD | STICK_MUTE | 302.0 | 1.2, 1.8, 2.5 | 0.054 | 0.70 | 56.0
OPPU_303HZ_SOFT | STICK_MUTE | 303.0 | 1.2, 1.8 | 0.036 | 0.58 | 31.0
OPPU_303HZ_HARD | STICK_MUTE | 303.0 | 1.2, 1.8, 2.5 | 0.056 | 0.72 | 59.0
OPPU_304HZ_SOFT | STICK_MUTE | 304.0 | 1.2, 1.8 | 0.038 | 0.59 | 33.0
OPPU_304HZ_HARD | STICK_MUTE | 304.0 | 1.2, 1.8, 2.5 | 0.058 | 0.73 | 62.0
OPPU_305HZ_SOFT | STICK_MUTE | 305.0 | 1.2, 1.8 | 0.040 | 0.60 | 35.0
OPPU_305HZ_HARD | STICK_MUTE | 305.0 | 1.2, 1.8, 2.5 | 0.060 | 0.75 | 65.0
OPPU_306HZ_SOFT | STICK_MUTE | 306.0 | 1.2, 1.8 | 0.042 | 0.61 | 37.0
OPPU_306HZ_HARD | STICK_MUTE | 306.0 | 1.2, 1.8, 2.5 | 0.062 | 0.76 | 68.0
OPPU_307HZ_SOFT | STICK_MUTE | 307.0 | 1.2, 1.8 | 0.044 | 0.62 | 39.0
OPPU_307HZ_HARD | STICK_MUTE | 307.0 | 1.2, 1.8, 2.5 | 0.064 | 0.78 | 71.0
OPPU_308HZ_SOFT | STICK_MUTE | 308.0 | 1.2, 1.8 | 0.046 | 0.63 | 41.0
OPPU_308HZ_HARD | STICK_MUTE | 308.0 | 1.2, 1.8, 2.5 | 0.066 | 0.79 | 74.0
OPPU_309HZ_SOFT | STICK_MUTE | 309.0 | 1.2, 1.8 | 0.048 | 0.64 | 43.0
OPPU_309HZ_HARD | STICK_MUTE | 309.0 | 1.2, 1.8, 2.5 | 0.068 | 0.81 | 77.0
OPPU_310HZ_SOFT | STICK_MUTE | 310.0 | 1.2, 1.8 | 0.030 | 0.50 | 25.0
OPPU_310HZ_HARD | STICK_MUTE | 310.0 | 1.2, 1.8, 2.5 | 0.050 | 0.60 | 50.0
OPPU_311HZ_SOFT | STICK_MUTE | 311.0 | 1.2, 1.8 | 0.032 | 0.51 | 27.0
OPPU_311HZ_HARD | STICK_MUTE | 311.0 | 1.2, 1.8, 2.5 | 0.052 | 0.61 | 53.0
OPPU_312HZ_SOFT | STICK_MUTE | 312.0 | 1.2, 1.8 | 0.034 | 0.52 | 29.0
OPPU_312HZ_HARD | STICK_MUTE | 312.0 | 1.2, 1.8, 2.5 | 0.054 | 0.63 | 56.0
OPPU_313HZ_SOFT | STICK_MUTE | 313.0 | 1.2, 1.8 | 0.036 | 0.53 | 31.0
OPPU_313HZ_HARD | STICK_MUTE | 313.0 | 1.2, 1.8, 2.5 | 0.056 | 0.65 | 59.0
OPPU_314HZ_SOFT | STICK_MUTE | 314.0 | 1.2, 1.8 | 0.038 | 0.54 | 33.0
OPPU_314HZ_HARD | STICK_MUTE | 314.0 | 1.2, 1.8, 2.5 | 0.058 | 0.66 | 62.0
OPPU_315HZ_SOFT | STICK_MUTE | 315.0 | 1.2, 1.8 | 0.040 | 0.55 | 35.0
OPPU_315HZ_HARD | STICK_MUTE | 315.0 | 1.2, 1.8, 2.5 | 0.060 | 0.67 | 65.0
OPPU_316HZ_SOFT | STICK_MUTE | 316.0 | 1.2, 1.8 | 0.042 | 0.56 | 37.0
OPPU_316HZ_HARD | STICK_MUTE | 316.0 | 1.2, 1.8, 2.5 | 0.062 | 0.69 | 68.0
OPPU_317HZ_SOFT | STICK_MUTE | 317.0 | 1.2, 1.8 | 0.044 | 0.57 | 39.0
OPPU_317HZ_HARD | STICK_MUTE | 317.0 | 1.2, 1.8, 2.5 | 0.064 | 0.70 | 71.0
OPPU_318HZ_SOFT | STICK_MUTE | 318.0 | 1.2, 1.8 | 0.046 | 0.58 | 41.0
OPPU_318HZ_HARD | STICK_MUTE | 318.0 | 1.2, 1.8, 2.5 | 0.066 | 0.72 | 74.0
